name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
gamemob.com,1,0,0,0.9868326187133789,3,0.9879536628723145,,,2
gamemob.com,1,1,0,0.7510628700256348,3,0.7522435188293457,,,2
gamemob.com,1,0,1,0.8340072631835938,3,5.841952800750732,1,2,2
door2games.com,1,0,0,0.9810643196105957,3,0.9824762344360352,,,1
door2games.com,1,1,0,0.7503094673156738,3,0.7514519691467285,,,1
door2games.com,1,0,1,0.7207248210906982,3,5.727869033813477,1,2,1
ondemandappliancerepair.com,1,0,0,0.6325697898864746,3,0.6368253231048584,,,1
ondemandappliancerepair.com,1,1,0,0.6496250629425049,3,0.6506443023681641,,,1
ondemandappliancerepair.com,1,0,1,0.7108252048492432,3,0.7126970291137695,1,2,1
gensee.com,1,0,0,0.5247526168823242,3,0.5259146690368652,,,1
gensee.com,1,1,0,0.6515874862670898,3,0.6527190208435059,,,1
gensee.com,1,0,1,0.2042100429534912,1,0.6056973934173584,2,0,1
caricsports.com,1,0,0,0.6385142803192139,3,0.6406424045562744,,,2
caricsports.com,1,1,0,0.6100518703460693,3,0.6119956970214844,,,2
caricsports.com,1,0,1,0.17643332481384277,1,0.6321041584014893,2,0,2
toaskfuture.com,1,0,0,0.6692728996276855,3,0.6703972816467285,,,1
toaskfuture.com,1,1,0,0.6454801559448242,3,0.6473875045776367,,,1
toaskfuture.com,1,0,1,0.20350098609924316,1,0.7125101089477539,2,0,1
cetsi.fr,1,0,0,0.731175422668457,3,0.7326493263244629,,,1
cetsi.fr,1,1,0,0.6466095447540283,3,0.6476871967315674,,,1
cetsi.fr,1,0,1,0.1723020076751709,1,0.6988234519958496,2,0,1
bikesandtransit.com,1,0,0,0.5205323696136475,3,0.5215287208557129,,,2
bikesandtransit.com,1,1,0,0.6450662612915039,3,0.6464252471923828,,,2
bikesandtransit.com,1,0,1,0.2052602767944336,1,0.6084644794464111,2,0,2
aqvr.com,1,0,0,0.7423138618469238,3,0.7432053089141846,,,1
aqvr.com,1,1,0,1.0742740631103516,3,1.075364112854004,,,1
aqvr.com,1,0,1,0.21194863319396973,1,0.9465916156768799,2,0,1
niceinternetmoney.ru,1,0,0,5.73444128036499,21,5.745059013366699,,,0
niceinternetmoney.ru,1,1,0,5.012930154800415,21,5.023019790649414,,,0
niceinternetmoney.ru,1,0,1,2.017441987991333,6,2.423203468322754,6,5,0
pictures-thailand.com,1,0,0,0.9331488609313965,3,0.934119701385498,,,1
pictures-thailand.com,1,1,0,0.859215259552002,3,0.8602542877197266,,,1
pictures-thailand.com,1,0,1,0.2667417526245117,1,0.9213807582855225,2,0,1
2brightsparks.co.uk,1,0,0,1.0968918800354004,6,1.1000373363494873,,,4
2brightsparks.co.uk,1,1,0,1.2469439506530762,6,1.2494282722473145,,,4
2brightsparks.co.uk,1,0,1,0.18759489059448242,1,1.5934369564056396,2,0,4
astrumonline.ru,1,0,0,1.9413948059082031,6,1.9442155361175537,,,1
astrumonline.ru,1,1,0,1.6281652450561523,6,1.6308131217956543,,,1
astrumonline.ru,1,0,1,0.21288561820983887,1,1.2373926639556885,2,0,1
blueridgelife.com,1,0,0,0.8709921836853027,3,0.8732829093933105,,,1
blueridgelife.com,1,1,0,0.6428966522216797,3,0.6449625492095947,,,1
blueridgelife.com,1,0,1,0.18518567085266113,1,0.7195110321044922,2,0,1
mwzip.com,1,0,0,0.41834139823913574,3,0.42048215866088867,,,2
mwzip.com,1,1,0,0.7531077861785889,3,0.7550249099731445,,,2
